game_id,home_team,away_team,play_desc,home_score,away_score,half,secs_left_half,secs_left_reg,play_team,play_type,shooting_play,scoring_play,is_three,shooter,is_assisted,assist_player,shot_x,shot_y
401820688,Syracuse Orange,Virginia Tech Hokies,Start game,0,0,1,1200,2400,,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jump Ball won by Virginia Tech,0,0,1,1199,2399,Virginia Tech Hokies,jump ball,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jump Ball lost by Syracuse,0,0,1,1199,2399,Syracuse Orange,jump ball,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas makes layup,0,2,1,1187,2387,Virginia Tech Hokies,,False,True,False,Neoklis Avdalas makes layup,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Nate Kingz makes 27-foot three point jumper (William Kyle III assists),3,2,1,1160,2360,Syracuse Orange,,False,True,True,Nate Kingz makes 27-foot three point jumper (William Kyle III assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jailen Bedford misses 25-foot three point jumper,3,2,1,1146,2346,Virginia Tech Hokies,,False,False,True,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,William Kyle III Defensive Rebound.,3,2,1,1142,2342,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,J.J. Starling misses 12-foot jumper,3,2,1,1125,2325,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak Block.,3,2,1,1125,2325,Virginia Tech Hokies,block,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak Defensive Rebound.,3,2,1,1120,2320,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas misses layup,3,2,1,1108,2308,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak Offensive Rebound.,3,2,1,1103,2303,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak makes 0-foot tip in layup,3,4,1,1103,2303,Virginia Tech Hokies,,False,True,False,Christian Gurdak makes 0-foot tip in layup,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on Christian Gurdak.,3,4,1,1082,2282,Virginia Tech Hokies,foul,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Nate Kingz makes free throw 1 of 2,4,4,1,1082,2282,Syracuse Orange,,False,True,False,Nate Kingz makes free throw 1 of 2,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Nate Kingz makes free throw 2 of 2,5,4,1,1082,2282,Syracuse Orange,,False,True,False,Nate Kingz makes free throw 2 of 2,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Amani Hansberry makes 3-foot pullup jump shot,5,6,1,1065,2265,Virginia Tech Hokies,,False,True,False,Amani Hansberry makes 3-foot pullup jump shot,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,William Kyle III makes 3-foot alley oop dunk (Naithan George assists),7,6,1,1056,2256,Syracuse Orange,,False,True,False,William Kyle III makes 3-foot alley oop dunk (Naithan George assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on Naithan George.,7,6,1,1036,2236,Syracuse Orange,foul,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jailen Bedford misses layup,7,6,1,1024,2224,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Naithan George Block.,7,6,1,1024,2224,Syracuse Orange,block,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak Offensive Rebound.,7,6,1,1014,2214,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak makes 0-foot tip in layup,7,8,1,1014,2214,Virginia Tech Hokies,,False,True,False,Christian Gurdak makes 0-foot tip in layup,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Naithan George misses 25-foot three point jumper,7,8,1,1009,2209,Syracuse Orange,,False,False,True,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak Defensive Rebound.,7,8,1,1005,2205,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Amani Hansberry makes layup (Ben Hammond assists),7,10,1,1000,2200,Virginia Tech Hokies,,False,True,False,Amani Hansberry makes layup (Ben Hammond assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,"William Kyle III bad pass
turnover",7,10,1,987,2187,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Ben Hammond Steal.,7,10,1,987,2187,Virginia Tech Hokies,steal,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Ben Hammond turnover,7,10,1,982,2182,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,J.J. Starling misses layup,7,10,1,969,2169,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Syracuse Offensive Rebound.,7,10,1,968,2168,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Donnie Freeman makes 28-foot three point jumper (J.J. Starling assists),10,10,1,964,2164,Syracuse Orange,,False,True,True,Donnie Freeman makes 28-foot three point jumper (J.J. Starling assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Ben Hammond turnover,10,10,1,943,2143,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Official TV Timeout,10,10,1,940,2140,,tv timeout,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Ben Hammond subbing out for Virginia Tech,10,10,1,940,2140,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Christian Gurdak subbing out for Virginia Tech,10,10,1,940,2140,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tobi Lawal subbing in for Virginia Tech,10,10,1,940,2140,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jaden Schutt subbing in for Virginia Tech,10,10,1,940,2140,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Nate Kingz makes 25-foot three point jumper (William Kyle III assists),13,10,1,929,2129,Syracuse Orange,,False,True,True,Nate Kingz makes 25-foot three point jumper (William Kyle III assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on J.J. Starling.,13,10,1,908,2108,Syracuse Orange,foul,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas misses layup,13,10,1,904,2104,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Donnie Freeman Defensive Rebound.,13,10,1,901,2101,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,William Kyle III misses layup,13,10,1,890,2090,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,William Kyle III Offensive Rebound.,13,10,1,886,2086,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,William Kyle III makes 0-foot tip in layup,15,10,1,886,2086,Syracuse Orange,,False,True,False,William Kyle III makes 0-foot tip in layup,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas makes layup,15,12,1,870,2070,Virginia Tech Hokies,,False,True,False,Neoklis Avdalas makes layup,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Donnie Freeman misses 9-foot pullup jump shot,15,12,1,856,2056,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Amani Hansberry Defensive Rebound.,15,12,1,851,2051,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on J.J. Starling.,15,12,1,846,2046,Syracuse Orange,foul,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,J.J. Starling subbing out for Syracuse,15,12,1,846,2046,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,William Kyle III subbing out for Syracuse,15,12,1,846,2046,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. subbing in for Syracuse,15,12,1,846,2046,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tyler Betsey subbing in for Syracuse,15,12,1,846,2046,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jailen Bedford subbing out for Virginia Tech,15,12,1,846,2046,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Ben Hammond subbing in for Virginia Tech,15,12,1,846,2046,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on Tyler Betsey.,15,12,1,837,2037,Syracuse Orange,foul,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tobi Lawal misses free throw 1 of 2,15,12,1,837,2037,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Virginia Tech Deadball Team Rebound.,15,12,1,837,2037,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tobi Lawal makes free throw 2 of 2,15,13,1,837,2037,Virginia Tech Hokies,,False,True,False,Tobi Lawal makes free throw 2 of 2,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on Sadiq White Jr..,15,13,1,821,2021,Syracuse Orange,foul,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. turnover,15,13,1,821,2021,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas misses layup,15,13,1,810,2010,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. Block.,15,13,1,810,2010,Syracuse Orange,block,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Amani Hansberry Offensive Rebound.,15,13,1,805,2005,Virginia Tech Hokies,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas misses layup,15,13,1,804,2004,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tyler Betsey Defensive Rebound.,15,13,1,801,2001,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Donnie Freeman misses 25-foot three point jumper,15,13,1,781,1981,Syracuse Orange,,False,False,True,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tyler Betsey Offensive Rebound.,15,13,1,778,1978,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. misses layup,15,13,1,769,1969,Syracuse Orange,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. Offensive Rebound.,15,13,1,765,1965,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. makes 0-foot tip in layup,17,13,1,765,1965,Syracuse Orange,,False,True,False,Sadiq White Jr. makes 0-foot tip in layup,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas misses 26-foot three point jumper,17,13,1,750,1950,Virginia Tech Hokies,,False,False,True,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Donnie Freeman Defensive Rebound.,17,13,1,747,1947,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Tyler Betsey makes 25-foot three point jumper (Nate Kingz assists),20,13,1,744,1944,Syracuse Orange,,False,True,True,Tyler Betsey makes 25-foot three point jumper (Nate Kingz assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Virginia Tech Timeout,20,13,1,737,1937,Virginia Tech Hokies,timeout,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Official TV Timeout,20,13,1,737,1937,,tv timeout,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Neoklis Avdalas subbing out for Virginia Tech,20,13,1,737,1937,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jailen Bedford subbing in for Virginia Tech,20,13,1,737,1937,Virginia Tech Hokies,,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Jaden Schutt misses 28-foot three point jumper,20,13,1,723,1923,Virginia Tech Hokies,,False,False,True,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Naithan George Defensive Rebound.,20,13,1,719,1919,Syracuse Orange,rebound,False,False,False,,False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Sadiq White Jr. makes 27-foot three point jumper (Donnie Freeman assists),23,13,1,689,1889,Syracuse Orange,,False,True,True,Sadiq White Jr. makes 27-foot three point jumper (Donnie Freeman assists),False,,,
401820688,Syracuse Orange,Virginia Tech Hokies,Foul on Naithan George.,23,13,1,676,1876,Syracuse Orange,foul,False,False,False,,False,,,
