game_id,home_team,away_team,play_desc,home_score,away_score,half,secs_left_half,secs_left_reg,play_team,play_type,shooting_play,scoring_play,is_three,shooter,is_assisted,assist_player,shot_x,shot_y
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Start game,0,0,1,1200,2400,,,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Jump Ball won by Syracuse,0,0,1,1197,2397,Syracuse Orange,jump ball,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Jump Ball lost by Georgia Tech,0,0,1,1197,2397,Georgia Tech Yellow Jackets,jump ball,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,William Kyle III makes 1-foot dunk (J.J. Starling assists),0,2,1,1182,2382,Syracuse Orange,,False,True,False,William Kyle III makes 1-foot dunk (J.J. Starling assists),False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Foul on William Kyle III.,0,2,1,1164,2364,Syracuse Orange,foul,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Peyton Marshall makes layup,2,2,1,1144,2344,Georgia Tech Yellow Jackets,,False,True,False,Peyton Marshall makes layup,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,"Naithan George bad pass
turnover",2,2,1,1138,2338,Syracuse Orange,,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Kowacie Reeves Jr. misses 25-foot three point jumper,2,2,1,1127,2327,Georgia Tech Yellow Jackets,,False,False,True,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,J.J. Starling Defensive Rebound.,2,2,1,1123,2323,Syracuse Orange,rebound,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Donnie Freeman misses 25-foot three point jumper,2,2,1,1112,2312,Syracuse Orange,,False,False,True,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Peyton Marshall Defensive Rebound.,2,2,1,1108,2308,Georgia Tech Yellow Jackets,rebound,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Foul on Peyton Marshall.,2,2,1,1101,2301,Georgia Tech Yellow Jackets,foul,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Peyton Marshall turnover,2,2,1,1101,2301,Georgia Tech Yellow Jackets,,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Nate Kingz misses 24-foot three point jumper,2,2,1,1080,2280,Syracuse Orange,,False,False,True,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Akai Fleming Defensive Rebound.,2,2,1,1077,2277,Georgia Tech Yellow Jackets,rebound,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Peyton Marshall makes 2-foot dunk (Baye Ndongo assists),4,2,1,1067,2267,Georgia Tech Yellow Jackets,,False,True,False,Peyton Marshall makes 2-foot dunk (Baye Ndongo assists),False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,J.J. Starling misses 25-foot three point jumper,4,2,1,1062,2262,Syracuse Orange,,False,False,True,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Kowacie Reeves Jr. Defensive Rebound.,4,2,1,1058,2258,Georgia Tech Yellow Jackets,rebound,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Kowacie Reeves Jr. misses 13-foot floating jump shot,4,2,1,1054,2254,Georgia Tech Yellow Jackets,,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Baye Ndongo Offensive Rebound.,4,2,1,1054,2254,Georgia Tech Yellow Jackets,rebound,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Donnie Freeman Block.,4,2,1,1054,2254,Syracuse Orange,block,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Baye Ndongo makes 0-foot tip in dunk,6,2,1,1044,2244,Georgia Tech Yellow Jackets,,False,True,False,Baye Ndongo makes 0-foot tip in dunk,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Naithan George makes 24-foot three point jumper (William Kyle III assists),6,5,1,1041,2241,Syracuse Orange,,False,True,True,Naithan George makes 24-foot three point jumper (William Kyle III assists),False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Lamar Washington misses 23-foot three point jumper,6,5,1,1007,2207,Georgia Tech Yellow Jackets,,False,False,True,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Donnie Freeman Defensive Rebound.,6,5,1,1003,2203,Syracuse Orange,rebound,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Donnie Freeman makes 25-foot three point jumper (William Kyle III assists),6,8,1,989,2189,Syracuse Orange,,False,True,True,Donnie Freeman makes 25-foot three point jumper (William Kyle III assists),False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Baye Ndongo makes 6-foot hook shot (Lamar Washington assists),8,8,1,969,2169,Georgia Tech Yellow Jackets,,False,True,False,Baye Ndongo makes 6-foot hook shot (Lamar Washington assists),False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Donnie Freeman misses 11-foot turnaround jump shot,8,8,1,952,2152,Syracuse Orange,,False,False,False,,False,,,
401820653,Georgia Tech Yellow Jackets,Syracuse Orange,Peyton Marshall Defensive Rebound.,8,8,1,948,2148,Georgia Tech Yellow Jackets,rebound,False,False,False,,False,,,
